1	61 
2	39 
3	63 
4	62 
5	77 
6	28 30 35 
7	55 
8	13 23 46 
9	27 49 57 
10	65 
11	44 
12	19 27 29 
13	44 
14	66 
15	63 
16	9 
17	22 67 77 
18	17 
19	41 
20	39 
21	29 35 41 
22	52 
23	10 47 69 
24	20 49 52 
25	10 32 48 
26	8 38 46 
27	3 39 71 
28	19 55 63 
29	30 49 55 
30	13 20 51 
31	22 
32	24 56 76 
33	23 31 40 
34	41 49 78 
35	54 
36	22 23 25 
37	3 21 76 
38	52 
39	74 
40	14 68 69 
41	58 
42	17 60 61 
43	25 41 48 
44	49 58 60 
45	6 
46	47 54 73 
47	54 74 78 
48	29 53 76 
49	40 48 58 
50	28 
51	31 
52	35 39 54 
53	58 
54	2 
55	32 64 69 
56	27 42 62 
57	2 35 65 
58	12 69 74 
59	51 
60	64 
61	68 
62	67 
63	19 24 55 
64	3 
65	26 
66	13 51 65 
67	13 
68	31 
69	9 
70	43 
71	41 
72	19 20 60 
73	47 
74	49 53 61 
75	3 58 77 
76	10 
77	31 48 50 
78	39 61 66 
79	15 
80	10 23 25 
81	48 
82	46 53 70 
83	6 39 51 
84	41 65 72 
85	23 32 47 
86	76 
87	37 65 69 
88	18 41 78 
89	28 34 50 
90	13 16 65 
91	25 
92	29 61 66 
93	66 
94	15 
95	31 
96	32 55 69 
97	3 19 21 
98	41 68 69 
99	36 39 54 
100	6 14 50 
101	19 
102	36 
103	42 
104	29 
105	11 
106	39 40 50 
107	21 
108	23 67 78 
109	75 
110	24 
111	13 55 78 
112	60 
113	10 27 46 
114	32 58 64 
115	51 
116	13 28 64 
117	31 41 52 
118	26 46 74 
119	14 43 77 
120	19 30 69 
121	31 
122	21 32 42 
123	13 
124	23 44 61 
125	28 
126	61 64 65 
127	2 
128	44 
129	30 
130	58 63 74 
131	48 
132	69 
133	23 
134	21 27 31 
135	10 45 49 
136	78 
137	13 16 18 
138	6 
139	35 
140	64 
141	24 45 52 
142	7 21 50 
143	56 
144	21 52 57 
145	25 27 75 
146	37 
147	75 
148	32 33 45 
149	40 
150	23 63 69 
151	39 
152	31 58 78 
153	54 
154	13 
155	59 
156	27 28 56 
157	44 
158	29 
159	50 
160	24 
161	54 
162	13 
163	32 
164	17 19 66 
165	51 
166	1 3 71 
167	32 52 61 
168	61 
169	31 
170	35 
171	18 27 78 
172	16 49 64 
173	2 
174	30 74 78 
175	27 
176	72 
177	15 24 42 
178	71 
179	39 
180	78 
181	71 
182	63 
183	76 
184	42 
185	53 
186	4 27 60 
187	23 
188	28 50 51 
189	29 39 58 
190	28 71 75 
191	3 32 68 
192	22 
193	4 40 52 
194	52 
195	39 
196	31 
197	16 
198	47 
199	49 
200	37 42 51 
201	6 27 50 
202	49 
203	1 46 48 
204	9 30 32 
205	36 49 53 
206	1 
207	1 13 46 
208	10 16 27 
209	51 
210	3 27 39 
211	10 
212	14 
213	60 
214	11 
215	9 
216	8 61 76 
217	36 
218	73 
219	23 
220	35 
221	53 
222	4 48 52 
223	34 47 55 
224	7 
225	75 
226	39 
227	27 
228	30 
229	34 
230	6 13 25 
231	63 
232	46 
233	67 
234	55 
235	42 48 75 
236	49 
237	23 
238	25 
239	27 33 65 
240	27 32 34 
241	53 
242	7 18 31 
243	32 41 65 
244	55 59 63 
245	7 49 53 
246	13 
247	33 
248	24 
249	46 
250	41 44 52 
251	25 37 51 
252	26 35 72 
253	4 27 65 
254	5 24 32 
255	61 
256	61 
257	10 
258	13 
259	68 
260	10 31 49 
261	78 
262	3 
263	32 43 73 
264	23 
265	62 63 73 
266	23 
267	31 49 51 
268	53 
269	14 19 23 
270	16 18 50 
271	31 
272	74 
273	16 
274	54 
275	22 52 63 
276	52 
277	54 
278	8 
279	47 48 52 
280	3 41 75 
281	13 
282	23 
283	29 33 61 
284	35 
285	7 53 78 
286	8 13 38 
287	5 
288	5 66 68 
289	27 47 52 
290	72 
291	77 
292	1 45 53 
293	25 65 72 
294	24 
295	23 49 50 
296	19 32 61 
297	48 
298	59 
299	6 33 74 
300	28 49 60 
301	8 23 61 
302	49 
303	52 
304	24 38 52 
305	19 41 61 
306	55 
307	47 
308	25 
309	29 60 71 
310	6 
311	47 
312	35 54 65 
313	5 8 75 
314	23 35 67 
315	28 
316	26 
317	50 
318	66 
319	41 
320	8 21 75 
321	63 
322	3 
323	41 54 73 
324	11 13 27 
325	19 
326	12 51 58 
327	5 63 78 
328	41 
329	3 8 63 
330	29 48 56 
331	53 
332	63 
333	77 
334	48 
335	16 51 54 
336	54 60 69 
337	43 51 62 
338	30 
339	14 50 55 
340	13 68 76 
341	31 
342	7 29 74 
343	29 41 71 
344	63 
345	50 
346	22 
347	53 
348	30 63 74 
349	43 
350	8 26 56 
351	19 
352	35 
353	7 29 31 
354	39 
355	2 
356	72 
357	41 60 63 
358	19 
359	3 20 50 
360	27 
361	3 34 36 
362	4 6 54 
363	10 13 72 
364	28 46 50 
365	20 33 78 
366	42 
367	62 
368	18 
369	67 
370	51 
371	29 
372	35 
373	3 
374	17 60 76 
375	36 
376	27 41 43 
377	5 19 54 
378	50 
379	27 
380	50 
381	31 45 48 
382	7 
383	19 47 62 
384	52 
385	11 
386	13 36 48 
387	10 
388	10 63 69 
389	2 32 78 
390	11 13 46 
391	18 58 60 
392	21 49 57 
393	10 31 46 
394	13 56 77 
395	61 
396	53 
397	19 
398	19 23 77 
399	13 14 51 
400	57 
401	23 62 63 
402	39 
403	8 
404	32 54 71 
405	8 20 58 
406	67 
407	31 
408	24 
409	25 60 63 
410	14 
411	39 44 77 
412	37 
413	54 
414	20 
415	13 
416	18 39 52 
417	14 23 57 
418	3 49 69 
419	35 
420	32 
421	45 
422	15 
423	66 
424	24 31 40 
425	11 27 74 
426	4 10 39 
427	19 40 62 
